skyscrapers_desc;Modern skyscrapers are built with steel or reinforced concrete frameworks and curtain walls of glass or polished stone. They utilize mechanical equipment such as water pumps and elevators. Until the 19th century, buildings of over six storeys were rare, as having great numbers of stairs to climb was impractical for inhabitants, and water pressure was usually insufficient to supply running water above 50 m (164 ft). Most early skyscrapers emerged in the land-strapped areas of Chicago, London, and New York toward the end of the 19th century. A land boom in Melbourne, Australia between 1888–1891 spurred the creation of a significant number of early skyscrapers, though none of these were steel reinforced and few remain today.;;;;;;;;;;;;x,,
social_engineering;Social Engineering;;;;;;;;;;;;x,,
social_engineering_desc;Social engineering is a discipline in social science that refers to efforts to influence popular attitudes and social behaviors on a large scale, whether by governments or private groups. In the political arena, the counterpart of social engineering is political engineering. Virtually all law and governance has the effect of seeking to change behavior and could be considered ''social engineering'' to some extent. Governments also influence behavior more subtly through incentives and disincentives built into economic policy and tax policy, for instance, and have done so for centuries.;;;;;;;;;;;;x,,
technocracy;Technocracy;;;;;;;;;;;;x,,
technocracy_desc;Technocracy is a form of government in which experts in technology would be in control of all decision making. Scientists, engineers, and technologists who have knowledge, expertise, or skills, would compose the governing body, instead of politicians, businessmen, and economists. In a technocracy, decision makers would be selected based upon how knowledgeable and skillful they are in their field. The term technocracy was originally used to designate the application of the scientific method to solving social problems, in counter distinction to the traditional economic, political, or philosophic approaches.;;;;;;;;;;;;x,,
roaring_twenties;Roaring Twenties;;;;;;;;;;;;x,,
roaring_twenties_desc;The Roaring Twenties is a term sometimes used to refer to the 1920s, characterizing the era's distinctive cultural edge in most of the world's major cities for a period of sustained economic prosperity. ''Normalcy'' returned to politics in the wake of hyper-emotional patriotism during World War I, jazz music blossomed, the flapper redefined modern womanhood, and Art Deco peaked. Economically, the era saw the large-scale diffusion and use of automobiles, telephones, motion pictures, and electricity, unprecedented industrial growth, accelerated consumer demand and aspirations, and significant changes in lifestyle and culture. Finally the Wall Street Crash of 1929 ended the era, as the Great Depression set in worldwide, bringing years of worldwide gloom and hardship.;;;;;;;;;;;;x,,
art_deco;Art Deco;;;;;;;;;;;;x,,
art_deco_desc;Art Deco is an influential visual arts design style which first appeared in France during the 1920s, flourished internationally during the 30s and 40s, then waned in the post-World War II era. It is an eclectic style that combines traditional craft motifs with Machine Age imagery and materials. The style is often characterized by rich colors, bold geometric shapes and lavish ornamentation. Deco emerged from the Interwar period when rapid industrialization was transforming culture. One of its major attributes is an embrace of technology. This distinguishes Deco from the organic motifs favored by its predecessor Art Nouveau.;;;;;;;;;;;;x,,
social_liberal_focus;Party loyality towards social liberal;;;;;;;;;;;;x,,
modern_infrastructure;Modern Infrastructure;;;;;;;;;;;;x,,
modern_infrastructure_desc;What is better than roads and highways? MORE roads and highways. Always!;;;;;;;;;;;;x,,
early_1930_army_armament;Early 1930 Armament;;;;;;;;;;;;x,,
early_1930_army_armament_desc;Time goes on - and so does our weapon development.;;;;;;;;;;;;x,,
mid_1930_army_armament;Mid 1930 Armament;;;;;;;;;;;;x,,
mid_1930_army_armament_desc;Time goes on - and so does our weapon development.;;;;;;;;;;;;x,,
late_1930_army_armament;Late 1930 Armament;;;;;;;;;;;;x,,
late_1930_army_armament_desc;Time goes on - and so does our weapon development.;;;;;;;;;;;;x,,
early_1930_army_doctrine;Early 1930 Doctrines;;;;;;;;;;;;x,,
early_1930_army_doctrine_desc;Time goes on - and so does our doctrine development.;;;;;;;;;;;;x,,
mid_1930_army_doctrine;Mid 1930 Doctrines;;;;;;;;;;;;x,,
mid_1930_army_doctrine_desc;Time goes on - and so does our doctrine development.;;;;;;;;;;;;x,,
late_1930_army_doctrine;Late 1930 Doctrines;;;;;;;;;;;;x,,
late_1930_army_doctrine_desc;Time goes on - and so does our doctrine development.;;;;;;;;;;;;x,,
early_1930_army_leadership;Early 1930 Leadership;;;;;;;;;;;;x,,
early_1930_army_leadership_desc;Time goes on - and so does our leadership development.;;;;;;;;;;;;x,,
mid_1930_army_leadership;Mid 1930 Leadership;;;;;;;;;;;;x,,
mid_1930_army_leadership_desc;Time goes on - and so does our leadership development.;;;;;;;;;;;;x,,
late_1930_army_leadership;Late 1930 Leadership;;;;;;;;;;;;x,,
late_1930_army_leadership_desc;Time goes on - and so does our leadership development.;;;;;;;;;;;;x,,
early_1930_navy_armament;Early 1930 Armament;;;;;;;;;;;;x,,
early_1930_navy_armament_desc;Time goes on - and so does our weapon development.;;;;;;;;;;;;x,,
mid_1930_navy_armament;Mid 1930 Armament;;;;;;;;;;;;x,,
mid_1930_navy_armament_desc;Time goes on - and so does our weapon development.;;;;;;;;;;;;x,,
late_1930_navy_armament;Late 1930 Armament;;;;;;;;;;;;x,,
late_1930_navy_armament_desc;Time goes on - and so does our weapon development.;;;;;;;;;;;;x,,
early_1930_navy_doctrine;Early 1930 Doctrines;;;;;;;;;;;;x,,
early_1930_navy_doctrine_desc;Time goes on - and so does our doctrine development.;;;;;;;;;;;;x,,
mid_1930_navy_doctrine;Mid 1930 Doctrines;;;;;;;;;;;;x,,
mid_1930_navy_doctrine_desc;Time goes on - and so does our doctrine development.;;;;;;;;;;;;x,,
late_1930_navy_doctrine;Late 1930 Doctrines;;;;;;;;;;;;x,,
late_1930_navy_doctrine_desc;Time goes on - and so does our doctrine development.;;;;;;;;;;;;x,,
early_1930_navy_leadership;Early 1930 Leadership;;;;;;;;;;;;x,,
early_1930_navy_leadership_desc;Time goes on - and so does our leadership development.;;;;;;;;;;;;x,,
mid_1930_navy_leadership;Mid 1930 Leadership;;;;;;;;;;;;x,,
mid_1930_navy_leadership_desc;Time goes on - and so does our leadership development.;;;;;;;;;;;;x,,
late_1930_navy_leadership;Late 1930 Leadership;;;;;;;;;;;;x,,
late_1930_navy_leadership_desc;Time goes on - and so does our leadership development.;;;;;;;;;;;;x,,
early_1930_navy_logistics;Early 1930 Logistics;;;;;;;;;;;;x,,
early_1930_navy_logistics_desc;Time goes on - and so does our logistics development.;;;;;;;;;;;;x,,
mid_1930_navy_logistics;Mid 1930 Logistics;;;;;;;;;;;;x,,
mid_1930_navy_logistics_desc;Time goes on - and so does our logistics development.;;;;;;;;;;;;x,,
late_1930_navy_logistics;Late 1930 Logistics;;;;;;;;;;;;x,,
late_1930_navy_logistics_desc;Time goes on - and so does our logistics development.;;;;;;;;;;;;x,,
early_1940_army_armament;Early 1940 Armament;;;;;;;;;;;;x,,
early_1940_army_armament_desc;Time goes on - and so does our weapon development.;;;;;;;;;;;;x,,
mid_1940_army_armament;Mid 1940 Armament;;;;;;;;;;;;x,,
mid_1940_army_armament_desc;Time goes on - and so does our weapon development.;;;;;;;;;;;;x,,
late_1940_army_armament;Late 1940 Armament;;;;;;;;;;;;x,,
late_1940_army_armament_desc;Time goes on - and so does our weapon development.;;;;;;;;;;;;x,,
early_1940_army_doctrine;Early 1940 Doctrines;;;;;;;;;;;;x,,
early_1940_army_doctrine_desc;Time goes on - and so does our doctrine development.;;;;;;;;;;;;x,,
mid_1940_army_doctrine;Mid 1940 Doctrines;;;;;;;;;;;;x,,
mid_1940_army_doctrine_desc;Time goes on - and so does our doctrine development.;;;;;;;;;;;;x,,
late_1940_army_doctrine;Late 1940 Doctrines;;;;;;;;;;;;x,,
late_1940_army_doctrine_desc;Time goes on - and so does our doctrine development.;;;;;;;;;;;;x,,
early_1940_army_leadership;Early 1940 Leadership;;;;;;;;;;;;x,,
early_1940_army_leadership_desc;Time goes on - and so does our leadership development.;;;;;;;;;;;;x,,
mid_1940_army_leadership;Mid 1940 Leadership;;;;;;;;;;;;x,,
mid_1940_army_leadership_desc;Time goes on - and so does our leadership development.;;;;;;;;;;;;x,,
late_1940_army_leadership;Late 1940 Leadership;;;;;;;;;;;;x,,
late_1940_army_leadership_desc;Time goes on - and so does our leadership development.;;;;;;;;;;;;x,,
early_1940_navy_armament;Early 1940 Armament;;;;;;;;;;;;x,,
early_1940_navy_armament_desc;Time goes on - and so does our weapon development.;;;;;;;;;;;;x,,
mid_1940_navy_armament;Mid 1940 Armament;;;;;;;;;;;;x,,
mid_1940_navy_armament_desc;Time goes on - and so does our weapon development.;;;;;;;;;;;;x,,
late_1940_navy_armament;Late 1940 Armament;;;;;;;;;;;;x,,
late_1940_navy_armament_desc;Time goes on - and so does our weapon development.;;;;;;;;;;;;x,,
early_1940_navy_doctrine;Early 1940 Doctrines;;;;;;;;;;;;x,,
early_1940_navy_doctrine_desc;Time goes on - and so does our doctrine development.;;;;;;;;;;;;x,,
mid_1940_navy_doctrine;Mid 1940 Doctrines;;;;;;;;;;;;x,,
mid_1940_navy_doctrine_desc;Time goes on - and so does our doctrine development.;;;;;;;;;;;;x,,
late_1940_navy_doctrine;Late 1940 Doctrines;;;;;;;;;;;;x,,
late_1940_navy_doctrine_desc;Time goes on - and so does our doctrine development.;;;;;;;;;;;;x,,
early_1940_navy_leadership;Early 1940 Leadership;;;;;;;;;;;;x,,
early_1940_navy_leadership_desc;Time goes on - and so does our leadership development.;;;;;;;;;;;;x,,
mid_1940_navy_leadership;Mid 1940 Leadership;;;;;;;;;;;;x,,
mid_1940_navy_leadership_desc;Time goes on - and so does our leadership development.;;;;;;;;;;;;x,,
late_1940_navy_leadership;Late 1940 Leadership;;;;;;;;;;;;x,,
late_1940_navy_leadership_desc;Time goes on - and so does our leadership development.;;;;;;;;;;;;x,,
early_1940_navy_logistics;Early 1940 Logistics;;;;;;;;;;;;x,,
early_1940_navy_logistics_desc;Time goes on - and so does our logistics development.;;;;;;;;;;;;x,,
mid_1940_navy_logistics;Mid 1940 Logistics;;;;;;;;;;;;x,,
mid_1940_navy_logistics_desc;Time goes on - and so does our logistics development.;;;;;;;;;;;;x,,
late_1940_navy_logistics;Late 1940 Logistics;;;;;;;;;;;;x,,
late_1940_navy_logistics_desc;Time goes on - and so does our logistics development.;;;;;;;;;;;;x,,
disable_rgo_spread_events_title;Disable State RGO Improvement Events;;;;;;;;;;;;x,,
disable_rgo_spread_events_desc;Tired of every state telling you that it has been electrified? Fear not, with this decision RGO inventions will instead spread country-wide, reducing event spam for large nations significantly.;;;;;;;;;;;;x,,
enable_rgo_spread_events_title;Enable State RGO Improvement Events;;;;;;;;;;;;x,,
enable_rgo_spread_events_desc;Want the original RGO spreading back? Click here! \n\n (NOTE: You will lose all EARLY and IMPROVED modifiers without compensation.);;;;;;;;;;;;x,,
local_tractors_low;Early Tractors;;;;;;;;;;;;x,,
local_tractors_mid;Improved Tractors;;;;;;;;;;;;x,,
local_tractors_high;Tractors;;;;;;;;;;;;x,,
local_electricity_low;Early Electricity;;;;;;;;;;;;x,,
local_electricity_mid;Improved Electricity;;;;;;;;;;;;x,,
local_electricity_high;Electricity;;;;;;;;;;;;x,,
local_nitroglycerin_low;Early Nitroglycerin;;;;;;;;;;;;x,,
local_nitroglycerin_mid;Improved Nitroglycerin;;;;;;;;;;;;x,,
local_nitroglycerin_high;Nitroglycerin;;;;;;;;;;;;x,,
local_distribution_channels_low;Early Distribution Channels;;;;;;;;;;;;x,,
local_distribution_channels_mid;Improved Distribution Channels;;;;;;;;;;;;x,,
local_distribution_channels_high;Distribution Channels;;;;;;;;;;;;x,,
local_machine_tools_low;Early Machine Tools;;;;;;;;;;;;x,,
local_machine_tools_mid;Improved Machine Tools;;;;;;;;;;;;x,,
local_machine_tools_high;Machine Tools;;;;;;;;;;;;x,,
shaft_mine_low;Early Shaft Mining;;;;;;;;;;;;x,,
shaft_mine_mid;Improved Shaft Mining;;;;;;;;;;;;x,,
shaft_mine_high;Shaft Mining;;;;;;;;;;;;x,,
pit_mine_low;Early Pit Mining;;;;;;;;;;;;x,,
pit_mine_mid;Improved Pit Mining;;;;;;;;;;;;x,,
pit_mine_high;Pit Mining;;;;;;;;;;;;x,,
strip_mine_low;Early Strip Mining;;;;;;;;;;;;x,,
strip_mine_mid;Improved Strip Mining;;;;;;;;;;;;x,,
strip_mine_high;Strip Mining;;;;;;;;;;;;x,,
crop_rotation_low;Early Crop Rotation;;;;;;;;;;;;x,,
crop_rotation_mid;Improved Crop Rotation;;;;;;;;;;;;x,,
crop_rotation_high;Crop Rotation;;;;;;;;;;;;x,,
phosphates_low;Early Phosphates;;;;;;;;;;;;x,,
phosphates_mid;Improved Phosphates;;;;;;;;;;;;x,,
phosphates_high;Phosphates;;;;;;;;;;;;x,,
nitrates_low;Early Nitrates;;;;;;;;;;;;x,,
nitrates_mid;Improved Nitrates;;;;;;;;;;;;x,,
nitrates_high;Nitrates;;;;;;;;;;;;x,,
EVTNAME666900;Early Tractors in $COUNTRYNAME$;;;;;;;;;;;;x,,
EVTDESC666900;Mother, mother! Old man Johnson has bought a new machine! It can plough, pull, tear, move, and you can ride on it! He says it's called a 'tractor'!'\n\nThe advent of the tractor in $COUNTRYNAME$ has led to a revolution in local agriculture, with farm output increasing on a scale unfathomable a mere generation ago. Truly, the boons of industry are good unto $COUNTRY$.;;;;;;;;;;;;x,,
EVTOPTA666900;Truly, 'tis.;;;;;;;;;;;;x,,
EVTNAME666901;Improved Tractors in $COUNTRYNAME$;;;;;;;;;;;;x,,
EVTDESC666901;Mother, mother! Old man Johnson has bought a new machine! It can plough, pull, tear, move, and you can ride on it! He says it's called a 'tractor'!'\n\nThe advent of the tractor in $COUNTRYNAME$ has led to a revolution in local agriculture, with farm output increasing on a scale unfathomable a mere generation ago. Truly, the boons of industry are good unto $COUNTRY$.;;;;;;;;;;;;x,,
EVTOPTA666901;Truly, 'tis.;;;;;;;;;;;;x,,
EVTNAME666902;Tractors in $COUNTRYNAME$;;;;;;;;;;;;x,,
EVTDESC666902;Mother, mother! Old man Johnson has bought a new machine! It can plough, pull, tear, move, and you can ride on it! He says it's called a 'tractor'!'\n\nThe advent of the tractor in $COUNTRYNAME$ has led to a revolution in local agriculture, with farm output increasing on a scale unfathomable a mere generation ago. Truly, the boons of industry are good unto $COUNTRY$.;;;;;;;;;;;;x,,
EVTOPTA666902;Truly, 'tis.;;;;;;;;;;;;x,,
EVTNAME666910;Early Electricity in $COUNTRYNAME$;;;;;;;;;;;;x,,
EVTDESC666910;Mother, Mother! Have you seen the lights on Main Street? They're putting new lights in the lamp posts! They say that they're powered by 'electricity'!'\n\nElectricity, in the form of street lights, have arrived in $COUNTRYNAME$. This new type of lighting illuminates our cities in ways that have hereto only been dreamt of, increasing the efficiency and productivity of local industry, as well as the local quality of life.;;;;;;;;;;;;x,,
EVTOPTA666910;Brilliant!;;;;;;;;;;;;x,,
EVTNAME666911;Improved Electricity in $COUNTRYNAME$;;;;;;;;;;;;x,,
EVTDESC666911;Mother, Mother! Have you seen the lights on Main Street? They're putting new lights in the lamp posts! They say that they're powered by 'electricity'!'\n\nElectricity, in the form of street lights, have arrived in $COUNTRYNAME$. This new type of lighting illuminates our cities in ways that have hereto only been dreamt of, increasing the efficiency and productivity of local industry, as well as the local quality of life.;;;;;;;;;;;;x,,
EVTOPTA666911;Brilliant!;;;;;;;;;;;;x,,
EVTNAME666912;Electricity in $COUNTRYNAME$;;;;;;;;;;;;x,,
EVTDESC666912;Mother, Mother! Have you seen the lights on Main Street? They're putting new lights in the lamp posts! They say that they're powered by 'electricity'!'\n\nElectricity, in the form of street lights, have arrived in $COUNTRYNAME$. This new type of lighting illuminates our cities in ways that have hereto only been dreamt of, increasing the efficiency and productivity of local industry, as well as the local quality of life.;;;;;;;;;;;;x,,
EVTOPTA666912;Brilliant!;;;;;;;;;;;;x,,
EVTNAME666920;Early Nitroglycerin in $COUNTRYNAME$;;;;;;;;;;;;x,,
EVTDESC666920;Mother, Mother! Have you heard the sounds and booms echoing from the mine? They say it's a new type of explosive!'\n\nThe introduction of nitroglycerin, and with it the ability to dig deeper into the mine shafts than ever before, in $COUNTRYNAME$ means that the local mining industry has increased its output several times over.;;;;;;;;;;;;x,,
EVTOPTA666920;Kaboom!;;;;;;;;;;;;x,,
EVTNAME666921;Improved Nitroglycerin in $COUNTRYNAME$;;;;;;;;;;;;x,,
EVTDESC666921;Mother, Mother! Have you heard the sounds and booms echoing from the mine? They say it's a new type of explosive!'\n\nThe introduction of nitroglycerin, and with it the ability to dig deeper into the mine shafts than ever before, in $COUNTRYNAME$ means that the local mining industry has increased its output several times over.;;;;;;;;;;;;x,,
EVTOPTA666921;Kaboom!;;;;;;;;;;;;x,,
EVTNAME666922;Nitroglycerin in $COUNTRYNAME$;;;;;;;;;;;;x,,
EVTDESC666922;Mother, Mother! Have you heard the sounds and booms echoing from the mine? They say it's a new type of explosive!'\n\nThe introduction of nitroglycerin, and with it the ability to dig deeper into the mine shafts than ever before, in $COUNTRYNAME$ means that the local mining industry has increased its output several times over.;;;;;;;;;;;;x,,
EVTOPTA666922;Kaboom!;;;;;;;;;;;;x,,
EVTNAME666930;Early Distribution Channels in $COUNTRYNAME$;;;;;;;;;;;;x,,
EVTDESC666930;Mother! Mother! They've opened a new store in town!'\n\nThe nineteenth century saw the development of vastly improved channels for the distribution of goods to broader groups of customers. The opening of new, specialized and industrialized retailers was essential in bringing new industrial goods, produced in factories, to consumers. The new store in $COUNTRYNAME$ will increase the efficiency of the local farms, as farmers have to spend less time in travel to and from markets.;;;;;;;;;;;;x,,
EVTOPTA666930;Excellent!;;;;;;;;;;;;x,,
EVTNAME666931;Improved Distribution Channels in $COUNTRYNAME$;;;;;;;;;;;;x,,
EVTDESC666931;Mother! Mother! They've opened a new store in town!'\n\nThe nineteenth century saw the development of vastly improved channels for the distribution of goods to broader groups of customers. The opening of new, specialized and industrialized retailers was essential in bringing new industrial goods, produced in factories, to consumers. The new store in $COUNTRYNAME$ will increase the efficiency of the local farms, as farmers have to spend less time in travel to and from markets.;;;;;;;;;;;;x,,
EVTOPTA666931;Excellent!;;;;;;;;;;;;x,,
EVTNAME666932;Distribution Channels in $COUNTRYNAME$;;;;;;;;;;;;x,,
EVTDESC666932;Mother! Mother! They've opened a new store in town!'\n\nThe nineteenth century saw the development of vastly improved channels for the distribution of goods to broader groups of customers. The opening of new, specialized and industrialized retailers was essential in bringing new industrial goods, produced in factories, to consumers. The new store in $COUNTRYNAME$ will increase the efficiency of the local farms, as farmers have to spend less time in travel to and from markets.;;;;;;;;;;;;x,,
EVTOPTA666932;Excellent!;;;;;;;;;;;;x,,
EVTNAME666940;Early Machine Tools in $COUNTRYNAME$;;;;;;;;;;;;x,,
EVTDESC666940;Mother! Mother! Father says that they've got new tools in the mine!'\n\nWith the invention of machine tools, mines are slowly being fitted with new and efficient tools to aid the excavation of the slumbering riches below the surface. Mine efficiency and size has been increased in $COUNTRYNAME$ on account of this.;;;;;;;;;;;;x,,
EVTOPTA666940;Let us not dig too deep and greedily, though.;;;;;;;;;;;;x,,
EVTNAME666941;Improved Machine Tools in $COUNTRYNAME$;;;;;;;;;;;;x,,
EVTDESC666941;Mother! Mother! Father says that they've got new tools in the mine!'\n\nWith the invention of machine tools, mines are slowly being fitted with new and efficient tools to aid the excavation of the slumbering riches below the surface. Mine efficiency and size has been increased in $COUNTRYNAME$ on account of this.;;;;;;;;;;;;x,,
EVTOPTA666941;Let us not dig too deep and greedily, though.;;;;;;;;;;;;x,,
EVTNAME666942;Machine Tools in $COUNTRYNAME$;;;;;;;;;;;;x,,
EVTDESC666942;Mother! Mother! Father says that they've got new tools in the mine!'\n\nWith the invention of machine tools, mines are slowly being fitted with new and efficient tools to aid the excavation of the slumbering riches below the surface. Mine efficiency and size has been increased in $COUNTRYNAME$ on account of this.;;;;;;;;;;;;x,,
EVTOPTA666942;Let us not dig too deep and greedily, though.;;;;;;;;;;;;x,,
EVTNAME666950;Early Shaft Mining in $COUNTRYNAME$;;;;;;;;;;;;x,,
EVTDESC666950;Shaft mining has been adopted throughout $COUNTRYNAME$.;;;;;;;;;;;;x,,
EVTOPTA666950;Excellent;;;;;;;;;;;;x,,
EVTNAME666951;Improved Shaft Mining in $COUNTRYNAME$;;;;;;;;;;;;x,,
EVTDESC666951;Shaft mining has been adopted throughout $COUNTRYNAME$.;;;;;;;;;;;;x,,
EVTOPTA666951;Excellent;;;;;;;;;;;;x,,
EVTNAME666952;Shaft Mining in $COUNTRYNAME$;;;;;;;;;;;;x,,
EVTDESC666952;Shaft mining has been adopted throughout $COUNTRYNAME$.;;;;;;;;;;;;x,,
EVTOPTA666952;Excellent;;;;;;;;;;;;x,,
EVTNAME666960;Early Pit Mining in $COUNTRYNAME$;;;;;;;;;;;;x,,
EVTDESC666960;Pit mining has been adopted throughout $COUNTRYNAME$.;;;;;;;;;;;;x,,
EVTOPTA666960;Excellent;;;;;;;;;;;;x,,
EVTNAME666961;Improved Pit Mining in $COUNTRYNAME$;;;;;;;;;;;;x,,
EVTDESC666961;Pit mining has been adopted throughout $COUNTRYNAME$.;;;;;;;;;;;;x,,
EVTOPTA666961;Excellent;;;;;;;;;;;;x,,
EVTNAME666962;Pit Mining in $COUNTRYNAME$;;;;;;;;;;;;x,,
EVTDESC666962;Pit mining has been adopted throughout $COUNTRYNAME$.;;;;;;;;;;;;x,,
EVTOPTA666962;Excellent;;;;;;;;;;;;x,,
EVTNAME666970;Early Strip Mining in $COUNTRYNAME$;;;;;;;;;;;;x,,
EVTDESC666970;Strip mining has been adopted throughout $COUNTRYNAME$.;;;;;;;;;;;;x,,
EVTOPTA666970;Excellent;;;;;;;;;;;;x,,
EVTNAME666971;Improved Strip Mining in $COUNTRYNAME$;;;;;;;;;;;;x,,
EVTDESC666971;Strip mining has been adopted throughout $COUNTRYNAME$.;;;;;;;;;;;;x,,
EVTOPTA666971;Excellent;;;;;;;;;;;;x,,
EVTNAME666972;Strip Mining in $COUNTRYNAME$;;;;;;;;;;;;x,,
EVTDESC666972;Strip mining has been adopted throughout $COUNTRYNAME$.;;;;;;;;;;;;x,,
EVTOPTA666972;Excellent;;;;;;;;;;;;x,,
EVTNAME666980;Early Crop Rotation in $COUNTRYNAME$;;;;;;;;;;;;x,,
EVTDESC666980;Crop rotation has been adopted throughout $COUNTRYNAME$.;;;;;;;;;;;;x,,
EVTOPTA666980;Excellent;;;;;;;;;;;;x,,
EVTNAME666981;Improved Crop Rotation in $COUNTRYNAME$;;;;;;;;;;;;x,,
EVTDESC666981;Crop rotation has been adopted throughout $COUNTRYNAME$.;;;;;;;;;;;;x,,
EVTOPTA666981;Excellent;;;;;;;;;;;;x,,
EVTNAME666982;Crop Rotation in $COUNTRYNAME$;;;;;;;;;;;;x,,
EVTDESC666982;Crop rotation has been adopted throughout $COUNTRYNAME$.;;;;;;;;;;;;x,,
EVTOPTA666982;Excellent;;;;;;;;;;;;x,,
EVTNAME666990;Early Phosphates in $COUNTRYNAME$;;;;;;;;;;;;x,,
EVTDESC666990;Phosphates has been adopted throughout $COUNTRYNAME$.;;;;;;;;;;;;x,,
EVTOPTA666990;Excellent;;;;;;;;;;;;x,,
EVTNAME666991;Improved Phosphates in $COUNTRYNAME$;;;;;;;;;;;;x,,
EVTDESC666991;Phosphates has been adopted throughout $COUNTRYNAME$.;;;;;;;;;;;;x,,
EVTOPTA666991;Excellent;;;;;;;;;;;;x,,
EVTNAME666992;Phosphates in $COUNTRYNAME$;;;;;;;;;;;;x,,
EVTDESC666992;Phosphates has been adopted throughout $COUNTRYNAME$.;;;;;;;;;;;;x,,
EVTOPTA666992;Excellent;;;;;;;;;;;;x,,
EVTNAME667000;Early Nitrates in $COUNTRYNAME$;;;;;;;;;;;;x,,
EVTDESC667000;Nitrates has been adopted throughout $COUNTRYNAME$.;;;;;;;;;;;;x,,
EVTOPTA667000;Excellent;;;;;;;;;;;;x,,
EVTNAME667001;Improved Nitrates in $COUNTRYNAME$;;;;;;;;;;;;x,,
EVTDESC667001;Nitrates has been adopted throughout $COUNTRYNAME$.;;;;;;;;;;;;x,,
EVTOPTA667001;Excellent;;;;;;;;;;;;x,,
EVTNAME667002;Nitrates in $COUNTRYNAME$;;;;;;;;;;;;x,,
EVTDESC667002;Nitrates has been adopted throughout $COUNTRYNAME$.;;;;;;;;;;;;x,,
EVTOPTA667002;Excellent;;;;;;;;;;;;x,,
military_horse_breeding;Military Horse Breeding;;;;;;;;;;;;x,,
military_horse_breeding_desc;Horse breeding is reproduction in horses, and particularly the human-directed process of selective breeding of animals, particularly purebred horses of a given breed. Planned matings can be used to produce specifically desired characteristics in domesticated horses. Furthermore, modern breeding management and technologies can increase the rate of conception, a healthy pregnancy, and successful foaling.;;;;;;;;;;;;x,,
EVTNAME555000;Popular Conservative Figurehead;;;;;;;;;;;;x,,
EVTDESC555000;A popular man has come to power in the conservative party, ready to rally the masses for his cause. ;;;;;;;;;;;;x,,
EVTOPTA555000;We will have an eye on him;;;;;;;;;;;;x,,
EVTNAME555001;Popular Liberal Figurehead;;;;;;;;;;;;x,,
EVTDESC555001;A popular man has come to power in the liberal party, ready to rally the masses for his cause. ;;;;;;;;;;;;x,,
EVTOPTA555001;We will have an eye on him;;;;;;;;;;;;x,,
EVTNAME555002;Popular Reactionary Figurehead;;;;;;;;;;;;x,,
EVTDESC555002;A popular man has come to power in the reactionary party, ready to rally the masses for his cause. ;;;;;;;;;;;;x,,
EVTOPTA555002;We will have an eye on him;;;;;;;;;;;;x,,
EVTNAME555003;Popular Anarcho-Liberal Figurehead;;;;;;;;;;;;x,,
EVTDESC555003;A popular man has come to power in the anarcho-liberal party, ready to rally the masses for his cause. ;;;;;;;;;;;;x,,
EVTOPTA555003;We will have an eye on him;;;;;;;;;;;;x,,
EVTNAME555004;Popular Socialist Figurehead;;;;;;;;;;;;x,,
EVTDESC555004;A popular man has come to power in the socialist party, ready to rally the masses for his cause. ;;;;;;;;;;;;x,,
EVTOPTA555004;We will have an eye on him;;;;;;;;;;;;x,,
EVTNAME555005;Popular Communist Figurehead;;;;;;;;;;;;x,,
EVTDESC555005;A popular man has come to power in the communist party, ready to rally the masses for his cause. ;;;;;;;;;;;;x,,
EVTOPTA555005;We will have an eye on him;;;;;;;;;;;;x,,
EVTNAME555006;Popular Fascist Figurehead;;;;;;;;;;;;x,,
EVTDESC555006;A popular man has come to power in the fascist party, ready to rally the masses for his cause. ;;;;;;;;;;;;x,,
